CID,CRPName,Party,DistIDRunFor,FECCandID
N00035468,"Poore, Meshea",D,WV02,H4WV02106
N00029662,"Posey, Bill",R,FL08,H8FL15107
N00035520,"Powe, Sharon",R,AL01,H4AL01180
N00034667,"Powelson, Michael",3,CA30,H2CA30259
N00035323,"Powers, Amos Scott",D,TN06,H4TN06168
N00002260,"Price, David",D,NC04,H6NC04037
N00026160,"Price, Tom",R,GA06,H4GA06087
N00035407,"Pridemore, Tricia",R,GA11,H4GA11087
N00035455,"Prues, Jim",D,OH01,H4OH01067
N00013823,"Pryor, Mark",D,ARS1,S0AR00028
N00030581,"Quigley, Mike",D,IL05,H0IL05096
N00035542,"Quinones, Issac II",D,OH09,H4OH09078
N00034017,"Radel, Trey",R,FL19,H2FL14194
N00035358,"Radulovacki, Branko",D,GAS1,S4GA11228
N00002198,"Rahall, Nick",D,WV03,H6WV04057
N00000964,"Rangel, Charles B",D,NY13,H6NY19029
N00027686,"Rathje, Steve",R,IA01,H0IA02099
N00035204,"Raths, Greg",R,CA45,H4CA45089
N00035229,"Rayburn, Charles",D,IL02,H4IL02236
N00029405,"Recchia, Domenic",D,NY11,H8NY13069
N00000362,"Reed, Jack",D,RIS2,S6RI00163
N00030949,"Reed, Tom",R,NY23,H0NY29054
N00035537,"Reese, Brandon Rex",R,TX05,H4TX05051
N00026885,"Reichert, Dave",R,WA08,H4WA08071
N00035233,"Reid, Beverly E",R,IL02,H4IL02285
N00031127,"Renacci, Jim",R,OH16,H0OH16097
N00035363,"Reyes, Eloise Gomez",D,CA31,H4CA31055
N00004881,"Reynolds, Mel",D,IL02,H8IL02039
N00035501,"Rhoden, Larry",R,SDS2,S4SD00072
N00030968,"Ribble, Reid",R,WI08,H0WI08075
N00033832,"Rice, Tom",R,SC07,H2SC07066
N00035361,"Richards, Ronny",D,OH02,H4OH02131
N00030184,"Richmond, Cedric",D,LA02,H8LA02054
N00030962,"Rigell, Scott",R,VA02,H0VA02084
N00029441,"Risch, James E",R,IDS1,S8ID00092
N00035547,"Riser, Neil",R,LA05,H4LA05064
N00035419,"Robbins, Craig",R,IL11,H4IL11229
N00035354,"Roberts, Boyd",D,CA42,H4CA42078
N00005285,"Roberts, Pat",R,KSS1,S6KS00080
N00035337,"Robertson, Martha",D,NY23,H4NY23067
N00013142,"Robinson, Jack E",I,MAS2,S0MA00042
N00035478,"Robinson, Todd Anthony",D,GAS1,S4GA11251
N00030768,"Roby, Martha",R,AL02,H0AL02087
N00028463,"Roe, Phil",R,TN01,H6TN01388
N00003473,"Rogers, Hal",R,KY05,H0KY05015
N00009668,"Rogers, Mike",R,MI08,H0MI08042
N00024759,"Rogers, Mike D",R,AL03,H2AL03032
N00007151,"Rohrabacher, Dana",R,CA48,H8CA42061
N00031741,"Rokita, Todd",R,IN04,H0IN04170
N00029018,"Rooney, Tom",R,FL17,H8FL16022
N00002858,"Ros-Lehtinen, Ileana",R,FL27,H0FL18025
N00034472,"Rose, Bobbie",D,SC01,H2SC01069
N00035517,"Rosendale, Matt",R,MT01,H4MT00050
N00004719,"Roskam, Peter",R,IL06,H6IL06117
N00030645,"Ross, Dennis",R,FL15,H0FL12101
N00035344,"Rothblatt, Gabriel",D,FL08,H4FL08085
N00031253,"Rothfus, Keith J",R,PA12,H0PA04220
N00035187,"Rounds, Mike",R,SDS2,S4SD00049
N00006671,"Roybal-Allard, Lucille",D,CA40,H2CA33048
N00008264,"Royce, Ed",R,CA39,H6CA39020
N00035507,"Ruiz, Jose",R,ILS1,S4IL00420
N00032576,"Ruiz, Nicholas III",D,FL07,H0FL24171
N00033510,"Ruiz, Raul",D,CA36,H2CA36439
N00031632,"Rullo, Joe",I,NJS2,S2NJ00361
N00031988,"Runyan, Jon",R,NJ03,H0NJ03153
N00025482,"Ruppersberger, Dutch",D,MD02,H2MD02160
N00004887,"Rush, Bobby L",D,IL01,H2IL01042
N00004357,"Ryan, Paul",R,WI01,H8WI01024
N00025280,"Ryan, Tim",D,OH13,H2OH17109
N00035497,"Sabas, Antonio",I,NJS2,S4NJ00243
N00030418,"Sablan, Gregorio",I,MP00,H8MP00041
N00035318,"Saidel, Jonathan",D,PA13,H4PA13173
N00006446,"Salmon, Matt",R,AZ05,H4AZ01038
N00035068,"Salvette, Emily",L,MI01,H2MI01126
N00024870,"Sanchez, Linda",D,CA38,H2CA39078
N00008274,"Sanchez, Loretta",D,CA46,H6CA46033
N00002424,"Sanford, Mark",R,SC01,H4SC01073
N00027751,"Sarbanes, John",D,MD03,H6MD03292
N00035544,"Sasse, Ben",R,NES2,S4NE00090
N00009660,"Scalise, Steve",R,LA01,H0LA01087
N00035484,"Schaben, Scott",R,IAS2,S4IA00137
N00004724,"Schakowsky, Jan",D,IL09,H8IL09067
N00028138,"Schatz, Brian",D,HIS1,S4HI00136
N00009585,"Schiff, Adam",D,CA28,H0CA27085
N00000596,"Schlesinger, Alan",R,FL18,H4FL18043
N00035317,"Schnackenberg, Matt",L,FL11,H4FL11063
N00033101,"Schneider, Brad",D,IL10,H2IL10068
N00029273,"Schock, Aaron",R,IL18,H8IL18043
N00032232,"Schonberg, Steve",D,KYS1,S4KY00083
N00034723,"Schooley, Travis",R,PA09,H2PA09092
N00030071,"Schrader, Kurt",D,OR05,H8OR05107
N00026106,"Schultz, Debbie Wasserman",D,FL23,H4FL20023
N00035405,"Schwarz, David",R,GA01,H4GA01062
N00006460,"Schweikert, David",R,AZ06,H4AZ06045
N00035270,"Sciortino, Carl",D,MA05,H4MA05068
N00032457,"Scott, Austin",R,GA08,H0GA08099
N00002147,"Scott, Bobby",D,VA03,H6VA01117
N00024871,"Scott, David",D,GA13,H2GA13012
N00031782,"Scott, Tim",R,SCS1,S4SC00240
N00035396,"Scurry-Smith, Gloreatha",R,FL05,H4FL05065
N00035028,"Seaman, David",3,FL23,H4FL23068
N00035350,"Seeley, David",R,FL10,H4FL10057
N00035332,"Senger, Darlene",R,IL11,H4IL11195
N00004291,"Sensenbrenner, F James Jr",R,WI05,H8WI09050
N00001813,"Serrano, Jose E",D,NY15,H0NY18065
N00003062,"Sessions, Jeff",R,ALS1,S6AL00195
N00005681,"Sessions, Pete",R,TX32,H2TX03126
N00030622,"Sewell, Terri A",D,AL07,H0AL07086
N00035284,"Shaffer, James Alexander",R,MD01,H4MD01093
N00024790,"Shaheen, Jeanne",D,NHS2,S0NH00219
N00028091,"Shea-Porter, Carol",D,NH01,H6NH01230
N00035456,"Sheil, John",D,OH02,H4OH02149
N00035327,"Sheldon, Donna",R,GA10,H4GA10055
N00035390,"Sheridan, Tim",D,CA42,H4CA42086
N00006897,"Sherman, Brad",D,CA30,H6CA24113
N00035286,"Sherzan, Mike",D,IA03,H4IA03057
N00004961,"Shimkus, John M",R,IL15,H2IL20042
N00013770,"Shuster, Bill",R,PA09,H2PA09035
N00035460,"Si, Tae",D,OK04,H4OK04135
N00035499,"Silverstein, Matt",D,OKS2,S4OK00216
N00035394,"Simon, Fred J Jr",R,CA52,H4CA52077
N00006263,"Simpson, Mike",R,ID02,H8ID02064
N00033604,"Simpson, Stephen",R,GA10,H2GA10117
N00033983,"Sinema, Kyrsten",D,AZ09,H2AZ09019
N00027523,"Sires, Albio",D,NJ08,H6NJ13191
N00035442,"Sivarajah, Rhonda",R,MN06,H4MN06103
N00034685,"Slantz, Bill",L,MO08,H2MO02151
N00001311,"Slaughter, Louise M",D,NY25,H6NY03031
N00007833,"Smith, Adam",D,WA09,H6WA09025
N00027623,"Smith, Adrian",R,NE03,H6NE03115
N00035432,"Smith, Alden",D,ME02,H4ME02192
N00035417,"Smith, Bryan",R,ID02,H4ID02063
N00009816,"Smith, Chris",R,NJ04,H8NJ04014
N00035282,"Smith, Jason",R,MO08,H4MO08162
N00001811,"Smith, Lamar",R,TX21,H6TX21012
N00031204,"Southerland, Steve",R,FL02,H0FL02110
N00029649,"Speier, Jackie",D,CA14,H8CA12171
N00035428,"Spilka, Karen",D,MA05,H4MA05092
N00035524,"Stackhouse, Ed",3,NJS2,S4NJ00284
N00035320,"Stamper, Jay",D,SCS1,S4SC00257
N00035280,"Stapleton, Corey C",R,MTS2,S4MT00084
N00035521,"Starbuck, Lorenzo",R,FL26,H4FL26046
N00035523,"Stefanik, Elise",R,NY21,H4NY21079
N00033932,"Stewart, Chris",R,UT02,H2UT02324
N00035353,"Stiles, Larry",R,PA12,H4PA00022
N00029574,"Stivers, Steve",R,OH15,H8OH15076
N00035351,"Stockdale, David S",R,IN05,H4IN05104
N00005918,"Stockman, Steve",R,TX36,H6TX22143
N00029494,"Stone, John",R,GA12,H8GA12011
N00035339,"Strouse, Kevin",D,PA08,H4PA08108
N00030891,"Stutzman, Marlin",R,IN03,H0IN03198
N00012600,"Sullivan, Mike",R,MAS2,S0MA00034
N00033508,"Swalwell, Eric",D,CA15,H2CA15094
N00035268,"Sweeney, Steve M",D,NJS2,S4NJ00193
N00035535,"Takai, Mark",D,HI01,H4HI01134
N00006701,"Takano, Mark",D,CA41,H2CA43245
N00033575,"Taylor, James Henry",R,IL02,H2IL02131
N00005321,"Terry, Lee",R,NE02,H8NE02139
N00035534,"Testerman, Karen",R,NHS2,S4NH00104
N00035241,"Thigpen, Jason",R,NC03,H4NC03042
N00003288,"Thompson, Bennie G",D,MS02,H4MS02068
N00029736,"Thompson, Glenn",R,PA05,H8PA05071
N00007419,"Thompson, Mike",D,CA05,H8CA01109
N00012933,"Thoney, Roger",R,KYS1,S0KY00198
N00006052,"Thornberry, Mac",R,TX13,H4TX13014
N00009699,"Tiberi, Patrick J",R,OH12,H0OH12062
N00000226,"Tierney, John F",D,MA06,H4MA06033
N00035340,"Tilghman, Bill",D,MD01,H4MD01101
N00035492,"Tillis, Thom",R,NCS1,S4NC00162
N00035388,"Tillman, Danny",D,CA31,H4CA31063
N00027509,"Tipton, Scott",R,CO03,H6CO03139
N00030191,"Titus, Dina",D,NV01,H8NV03036
N00030196,"Tonko, Paul",D,NY20,H8NY21203
N00031538,"Tracy, Jim",R,TN04,H0TN06240
N00035473,"Treadwell, Mead",R,AKS1,S4AK00206
N00035485,"Truax, Doug",R,ILS1,S4IL00438
N00029026,"Tsongas, Niki",D,MA03,H8MA05143
N00025175,"Turner, Michael R",R,OH10,H2OH03067
N00035257,"Turner, Teddy",R,SC01,H4SC01255
N00008051,"Udall, Mark",D,COS2,S8CO00172
N00006561,"Udall, Tom",D,NMS2,S8NM00184
N00004133,"Upton, Fred",R,MI06,H6MI04113
N00033367,"Valadao, David",R,CA21,H2CA20094
N00013820,"Van Hollen, Chris",D,MD08,H2MD08126
N00007021,"Vargas, Juan",D,CA51,H2CA50026
N00034947,"Vaux, Morgan John",D,CA34,H4CA34059
N00033839,"Veasey, Marc",D,TX33,H2TX33073
N00034349,"Vela, Filemon",D,TX34,H2TX27190
N00001102,"Velazquez, Nydia M",D,NY07,H2NY00010
N00035410,"Vernon, Monica",D,IA01,H4IA01077
N00034985,"Victor, Marc",R,AZ09,H4AZ09015
N00003813,"Visclosky, Pete",D,IN01,H4IN01012
N00035399,"Vivaldi, Peter",R,FL09,H4FL09117
N00035330,"Vogt, Dave",R,MD06,H4MD06183
N00035207,"Wager, Michael",D,OH14,H4OH14102
N00035200,"Wagie, David",R,FL22,H2FL22114
N00033106,"Wagner, Ann L",R,MO02,H2MO02102
N00035424,"Wakefield, Margie",D,KS02,H4KS02115
N00026368,"Walberg, Tim",R,MI07,H4MI07103
N00007690,"Walden, Greg",R,OR02,H6OR02116
N00035311,"Walker, Bradley",R,NC06,H4NC06052
N00030975,"Wallace, Eric M",R,IL02,H4IL02301
N00031226,"Walorski, Jackie",R,IN02,H0IN02190
N00035305,"Walter, Andrew",R,AZ09,H4AZ09023
N00035391,"Walters, Mimi",R,CA45,H4CA45097
N00027467,"Walz, Timothy J",D,MN01,H6MN01174
N00035514,"Ward, Rick",R,LA06,H4LA06096
N00002097,"Warner, Mark",D,VAS2,S6VA00093
N00026054,"Washington, Joyce",D,IL02,H4IL02186
N00006690,"Waters, Maxine",D,CA43,H4CA23011
N00002328,"Watt, Melvin L",D,NC12,H2NC12021
N00001861,"Waxman, Henry A",D,CA33,H6CA24048
N00035445,"Webb, Don",R,NC06,H4NC06060
N00033539,"Weber, Randy",R,TX14,H2TX14149
N00026335,"Webster, Daniel",R,FL10,H0FL08208
N00004578,"Weiland, Rick",D,SDS2,S4SD00056
N00000515,"Welch, Peter",D,VT01,H6VT00160
N00035532,"Welch, Richard",I,MA05,H4MA05126
N00033310,"Wenstrup, Brad",R,OH02,H2OH02085
N00035316,"Westbrook, Corry",D,FL08,H4FL08077
N00035527,"Westerman, Bruce",R,AR04,H4AR04048
N00026163,"Westmoreland, Lynn A",R,GA03,H4GA08067
N00035481,"Whitaker, Matt",R,IAS2,S4IA00095
N00003467,"Whitfield, Ed",R,KY01,H4KY01040
N00035360,"Whitney, Bryan",D,KS01,H4KS01042
N00027253,"Wildes, Michael",D,NJ09,H4NJ09095
N00035435,"Willette, Alex",R,ME02,H4ME02226
N00025221,"Williams, Anthony W",D,IL02,H2IL02107
N00035293,"Williams, Chase",R,TN04,H4TN04148
N00035418,"Williams, David III",R,IL09,H4IL09074
N00030602,"Williams, Roger",R,TX25,H2TX33040
N00030650,"Wilson, Frederica",D,FL24,H0FL17068
N00024809,"Wilson, Joe",R,SC02,H2SC02059
N00035288,"Winslow, Dan",R,MAS2,S4MA00200
N00029459,"Wittman, Rob",R,VA01,H8VA01147
N00002073,"Wolf, Frank R",R,VA10,H6VA10050
N00031857,"Womack, Steve",R,AR03,H0AR03055
N00032416,"Woodall, Rob",R,GA07,H0GA07133
N00035281,"Wyatt, Eric",R,TXS1,S4TX00425
N00028073,"Yarmuth, John A",D,KY03,H6KY03124
N00031502,"Yoder, Kevin",R,KS03,H0KS03137
N00033220,"Yoho, Ted",R,FL03,H2FL06109
N00001817,"Young, C W Bill",R,FL13,H6FL06035
N00035509,"Young, David",R,IAS2,S4IA00103
N00033450,"Young, Dean",R,AL01,H2AL01176
N00007999,"Young, Don",R,AK01,H6AK00045
N00030670,"Young, Todd",R,IN09,H0IN09070
N00035479,"Yu, Eugene",R,GAS1,S4GA11269
N00035292,"Zachary, Jason",R,TN02,H4TN02068
N00034296,"Aalders, Tim",3,UT04,H4UT04052
N00035217,"Abbott, Richard Allen IV",D,MI03,H4MI03201
N00035490,"Abeler, Jim",R,MNS1,S4MN00353
N00036765,"Ables, Wayne",D,LAS1,S4LA00156
N00036389,Abraham,3,UT03,H4UT03187
N00036633,"Abraham, Ralph",R,LA05,H4LA05221
N00035926,"Abrahams, Kevan",D,NY04,H4NY04067
N00027398,"Acosta, Raul",I,COS2,S4CO00296
N00029081,"Adame, Marhshall",D,NC03,H8NC03043
N00035451,"Adams, Alma",D,NC12,H4NC12100
N00035446,"Adams, Danielle",D,NC06,H4NC06078
N00035664,"Adams, Dirk",D,MTS2,S4MT00100
N00032432,"Adams, John",R,OH03,H0OH15099
N00035389,"Adams, Steve",R,CA41,H4CA41120
N00035672,"Adams, Terry Glen Jr",D,TNS2,S4TN00328
N00036376,"Adams, Thomas A",D,SC05,H4SC05058
N00031338,"Adcock, Dee",R,PA13,H0PA13080
N00034889,"Addivinola, Frank",R,MAS2,S4MA00242
N00003028,"Aderholt, Robert B",R,AL04,H6AL04098
N00036432,"Agnew, Frank Christian",R,TNS2,S4TN00369
N00033997,"Aguilar, Pete",D,CA31,H2CA31125
N00035909,"Aiken, Clay",D,NC02,H4NC02127
N00036001,"Aikens, William",L,TX28,H4TX28079
N00008433,"Ajabu, Mmoja",D,IN07,H6IN10174
N00033916,"Alameel, David",D,TXS1,S4TX00516
N00036291,"Alao, Samuel",R,MO05,H4MO05325
N00035564,"Alas, Art",R,CA32,H4CA32103
N00036483,"Alberson, Floyd Wayne",I,TN09,H4TN09071
N00035553,"Albert-Kaigler, Lula",D,AL01,H4AL01214
N00036145,"Alexander, Bryant",D,MD07,H4MD07082
N00009888,"Alexander, Lamar",R,TNS2,S2TN00058
N00035983,"Alexander, Lewis",L,TX15,H4TX15126
N00025464,"Alexander, Rodney",R,LA05,H2LA05084
N00036052,"Alexander, Ted",R,NCS1,S4NC00220
N00035819,"Allen, Brad",R,CA24,H4CA24175
N00032189,"Allen, Larry",3,CA13,H0CA09091
N00033720,"Allen, Richard W",R,GA12,H2GA12121
N00035601,"Alliegro, Mark C",R,MA09,H4MA09052
N00036679,"Allison, Joy Jennifer",I,HIS1,S4HI00151
N00036337,"Alm, Vance",D,NV02,H4NV02136
N00036042,"Alvarez, Armen",R,ILS1,S4IL00461
N00031084,"Amador, Tony",R,CA09,H0CA11337
N00031938,"Amash, Justin",R,MI03,H0MI03126
N00035763,"Amdur, John",R,TX36,H4TX36015
N00031177,"Amodei, Mark",R,NV02,H2NV02395
N00034559,"Amouzouvik, Credo",D,TN07,H4TN07133
N00035400,"Andel, Ellen",R,FL18,H4FL18050
N00036443,"Anderson, Bruce",R,CA18,H4CA18086
N00036029,"Anderson, Christopher J",R,WI03,H4WI03128
N00033885,"Anderson, Dennis",D,IL14,H2IL14078
N00034835,"Anderson, Fred R",R,TNS2,S2TN00306
N00035408,"Anderson, Ikaika",D,HI01,H4HI01118
N00036419,"Anderson, Jeremy ""T""",R,IDS1,S4ID00083
N00036490,"Anderson, John",R,TN04,H4TN04189
N00032090,"Anderson, John",R,OH10,H0OH07104
N00036108,"Anderson, Peter O",D,CA39,H4CA39041
N00035343,"Anderson, Quentin",D,LA06,H4LA06070
N00035913,"Andrade, Chris",R,NC07,H4NC07084
N00036730,"Andrews, Matthew",3,VT01,H4VT00116
N00000826,"Andrews, Robert E",D,NJ01,H0NJ01066
N00036777,"Angel, Dark",I,NJ10,H4NJ10119
N00036746,"Ansley, Justin",D,LA04,H4LA04026
N00035414,"Appel, Staci",D,IA03,H4IA03065
N00035899,"Arcand, Alan",R,MI01,H4MI01122
N00035297,"Arkoosh, Val",D,PA13,H4PA13165
N00034703,"Armstrong, Brandon",I,SCS1,S4SC00232
N00036141,"Arness, Mark",R,MD05,H4MD05144
N00030295,"Arnold, Keith",D,WA08,H8WA08080
N00035906,"Arntzen, Elsie",R,MT01,H4MT01058
N00035259,"Arterburn, Tony Edward Jr",R,TX04,H4TX04120
N00036627,"Artero, Matthew Pascual",D,GU00,H4GU00013
N00005697,"Ashby, Ken",L,TX05,H8TX05052
N00005293,"Ashford, Brad",D,NE02,H4NE02054
N00036354,"Ashworth, Matthew",R,OH08,H4OH08104
N00035776,"Aspiri, Mark",R,COS2,S4CO00361
N00034426,"Assad, Mike",R,NJ02,H2NJ02128
N00026113,"Assini, Mark",R,NY25,H4NY29098
N00035832,"Atalla, Ehab",D,CA46,H4CA46103
N00031491,"Atanus, Susanne",R,IL09,H0IL09080
N00035012,"Atwood, Frank",L,CO01,H2CO01140
N00035058,"August, Bernie",3,DE01,H2DE00155
N00035733,"Aulenti, James",I,MA05,H4MA05159
N00036319,"Aupperle, Mark",D,NE02,H2NE02116
N00034173,"Ayers, Avery",I,TXS1,S4TX00441
N00035713,"Azcona, Alan",R,FL07,H4FL07079
N00035027,"Baber, Bob Henry",L,WVS2,S2WV00070
N00005736,"Babin, Brian",R,TX36,H6TX02079
N00007089,"Baca, Joe",D,CA31,H6CA42099
N00027493,"Bachmann, Michele",R,MN06,H6MN06074
N00008091,"Bachus, Spencer",R,AL06,H2AL06035
N00035528,"Bailey, Bill",D,IN09,H4IN09072
N00036336,"Bakari, Kamau",3,NV01,H4NV01187
N00030345,"Baker, Martin",R,MO01,H0MO01140
N00036368,"Balchunis, Mary Ellen",D,PA07,H4PA07092
N00035040,"Baldwin, Raymond",3,OR05,H2OR05175
N00035345,"Balkema, Chris",R,IL11,H4IL11203
N00036208,"Ball, Gordon",D,TNS2,S4TN00351
N00035112,"Ballard, Scott J",L,TX31,H2TX11095
N00035896,"Banach, Dave",R,MD02,H4MD02174
N00007182,"Banuelos, Robert",D,CA48,H2CA46040
N00036602,"Baratelli, Joe",L,NJS2,S4NJ00318
N00033981,"Barber, Ron",D,AZ02,H2AZ08094
N00025804,"Bardel, Hank",3,NY11,H2NY13062
N00035310,"Barfield, Jonathan",D,NC07,H4NC07068
N00033200,"Barkley, Mike",D,CA10,H2CA00096
N00025495,"Barletta, Lou",R,PA11,H2PA11098
N00033476,"Barlow, Pam",R,TX13,H2TX13075
N00035617,"Barnes, Houston",D,NC02,H4NC02101
N00033142,"Barnett, Andre",R,NY18,H4NY18091
N00036277,"Barnett, Bryan",R,MI08,H4MI08127
N00034885,"Barnhart, Scott J",I,KSS1,S4KS00119
N00036262,"Barone, Ryan Andrew",D,ID01,H4ID01099
N00031233,"Barr, Andy",R,KY06,H0KY06104
N00002526,"Barr, Bob",R,GA11,H4GA11053
N00036815,"Barr, Christina",R,MI14,H4MI13226
N00035037,"Barrilleaux, Bryan",R,LA03,H2LA03063
N00036384,"Barron, Bill",3,UT02,H4UT02239
N00035590,"Barron, Eliot Stevens",3,LA05,H4LA05098
N00026080,"Barrow, John",D,GA12,H4GA12010
N00005656,"Barton, Joe",R,TX06,H4TX06117
N00036399,"Bartow, Dennis",R,VA08,H4VA08315
N00036660,"Basler, Doug",R,WA09,H4WA09061
N00036469,"Bass, Herbert",I,TN09,H4TN09089
N00031877,"Bass, Karen",D,CA37,H0CA33117
N00036598,"Batson, Randall",L,KSS1,S4KS00143
N00036881,"Battista, Dino",I,WVS2,S4WV00282
N00035448,"Battle, George III",D,NC12,H4NC12076
N00036706,"Bauer, Lee",3,MN05,H4MN05089
N00035475,"Baumgardner, Randy",R,COS2,S4CO00346
N00035341,"Bayne, Ian L",R,IL11,H4IL11211
N00035225,"Beale, Anthony A",D,IL02,H4IL02178
N00036609,"Beard, Mark T",I,OKS1,S4OK00372
N00033973,"Beason, Scott",R,AL06,H2AL06126
N00033904,"Beatty, Joyce",D,OH03,H2OH03125
N00009774,"Becerra, Xavier",D,CA34,H2CA30143
N00036584,"Beck, Gwendolyn",I,VA08,H4VA08331
N00032702,"Becker, Francis X Jr",R,NY04,H0NY04099
N00036197,"Beckum, Gerald",D,GAS1,S4GA11319
N00034073,"Bedwell, Danny",L,MS01,H2MS01114
N00029901,"Begich, Mark",D,AKS1,S8AK00090
N00035623,"Belgard, Aimee",D,NJ03,H4NJ03106
N00000871,"Bell, Jeff",R,NJS2,S8NJ00012
N00014711,"Bell, Philip H",R,LA06,H6LA07081
N00034793,"Bellone, Alan",3,NY08,H2NY08120
N00035660,"Bellows, Shenna",D,MES2,S4ME00071
N00032743,"Beloin, Gerald",R,NHS2,S0NH00284
N00036406,"Beltran, Estakio",D,WA04,H4WA04138
N00035856,"Benacquisto, Lizbeth",R,FL19,H4FL19090
N00031934,"Benishek, Dan",R,MI01,H0MI01088
N00036049,"Bennett, Erick",R,MES2,S4ME00089
N00012869,"Benoit, Michael",L,CA50,H0CA52018
N00035438,"Benson, Mike",R,MN01,H4MN01153
N00010134,"Bentivegna, Joe",R,CT04,H4CT04148
N00033625,"Bentivolio, Kerry",R,MI11,H2MI11133
N00030717,"Bera, Ami",D,CA07,H0CA03078
N00035737,"Berger, Philip",R,NC06,H4NC06102
N00032405,"Bergmann, Charlotte",R,TN09,H0TN09061
N00036780,"Berman, Mike",I,NJ01,H4NJ01159
N00031994,"Best, Russell",3,NV04,H0NV02167
N00035997,"Betz, John",L,TX25,H4TX25174
N00031559,"Beutler, Jaime Herrera",R,WA03,H0WA03187
N00035538,"Bevin, Matt",R,KYS1,S4KY00109
N00035303,"Bey, Curtiss",I,IL02,H4IL02327
N00036018,"Beyer, Don",D,VA08,H4VA08224
N00031747,"Bielat, Sean",R,MAS2,S4MA00192
N00036731,"Biglay, Mike",R,CA23,H4CA23169
N00027462,"Bilirakis, Gus",R,FL12,H6FL09070
N00035718,"Bircher, Mark",R,FL13,H4FL13135
N00035557,"Birman, Igor A",R,CA07,H4CA07055
N00036449,"Bishop, Mike",R,MI08,H4MI08135
N00025292,"Bishop, Rob",R,UT01,H2UT01094
N00002674,"Bishop, Sanford",D,GA02,H2GA02031
N00025413,"Bishop, Timothy H",D,NY01,H2NY01067
N00031539,"Black, Diane",R,TN06,H0TN06257
N00029453,"Black, Dick",R,VA10,H8VA01089
N00030082,"Black, Phil",D,SC02,H8SC02098
N00003105,"Blackburn, Marsha",R,TN07,H2TN06030
N00036263,"Blackwell, Sean",R,ID01,H4ID01107
N00035971,"Blair, Paul",3,TX03,H4TX03098
N00036836,"Blais, Dianne L",3,VA10,H4VA10154
N00036834,"Blais, Gerard",3,VA08,H4VA08349
N00031690,"Blakeman, Bruce",R,NY04,H4NY04091
N00036333,"Blanch, Robert J Jr",D,NM03,H4NM03070
N00035850,"Blanchard, Zechariah",R,FL07,H4FL07095
N00032969,"Blandford, Keith",R,SC01,H0SC01352
N00036125,"Blaydes, Jeff",D,IN04,H4IN04214
N00034953,"Bleming, Thomas",R,WYS2,S2WY00117
N00034999,"Blue, Antonio",D,NC08,H2NC08219
N00033744,"Blum, Rod",R,IA01,H2IA01055
N00007727,"Blumenauer, Earl",D,OR03,H6OR03064
N00026756,"Bly, Ray",R,MD07,H8MD07042
N00028608,"Blyth, John",D,IL02,H4IL02244
N00032925,"Boal, Ellis",3,MI01,H0MI01187
N00036516,"Bobb, Christina",I,CA53,H4CA53109
N00029161,"Boccieri, John A",D,OH07,H8OH16058
N00035727,"Bock, Joe",D,IN02,H4IN02135
N00003675,"Boehner, John",R,OH08,H0OH08029
N00036578,"Boggs, Tom",I,OK05,H4OK05173
N00035780,"Bohlinger, John",D,MTS2,S4MT00126
N00031805,"Boler, Mark",L,TX26,H0TX26105
N00035466,"Bolger, Richard",D,VA10,H4VA10063
N00035885,"Bolin, Wesley Seaton",D,KY01,H4KY01065
N00025386,"Boliver, Gail",R,IA01,H2IA04091
N00033474,"Bonamici, Suzanne",D,OR01,H2OR01133
N00029882,"Bond, Tanya",D,PA04,H8PA03100
N00033342,"Bongino, Dan",R,MD06,H4MD06191
N00035398,"Bonilla, Jorge",R,FL09,H4FL09109
N00035577,"Bonner, Jay",R,FL20,H4FL20064
N00025330,"Bonner, Jo",R,AL01,H2AL01077
N00035267,"Booker, Cory",D,NJS2,S4NJ00185
N00036710,"Books, Tom",3,MNS1,S4MN00452
N00024866,"Bordallo, Madeleine Z",D,GU00,H2GU00033
N00029605,"Boss, Jeff",I,NJS2,S8NJ00418
N00036430,"Bossi, Jill",3,SCS1,S4SC00356
N00035420,"Bost, Mike",R,IL12,H4IL12060
N00035244,"Bostic, Curtis",R,SC01,H4SC00018
N00035500,"Bosworth, Annette",R,SDS2,S4SD00064
N00035558,"Botelho, Joanna",R,CA16,H4CA16106
N00026595,"Boustany, Charles Jr",R,LA03,H4LA07029
N00035465,"Bowden, Craig",I,UT01,H4UT01108
N00035963,"Bowers, Det",R,SCS2,S4SC00323
N00034622,"Bowman, Joe",L,IN04,H2IN04143
N00036148,"Bowman, Terry",R,MI12,H4MI12061
N00035307,"Boyle, Brendan",D,PA13,H4PA13199
N00036816,"Boyle, Stephen",3,MI14,H4MI14190
N00034812,"Bradley, Wes",D,TN08,H2TN08119
N00036423,"Bradshaw, Alex Lee",R,NCS1,S4NC00246
N00005883,"Brady, Kevin",R,TX08,H6TX08100
N00001619,"Brady, Robert A",D,PA01,H8PA01153
N00036563,"Brady, Ross",3,NY10,H4NY10106
N00027464,"Braley, Bruce",D,IAS2,S4IA00087
N00036227,"Brand, Grant",L,AR03,H4AR03057
N00035365,"Brandon, Marcus",D,NC12,H4NC12050
N00035871,"Brannigan, Sharon",R,IL03,H4IL03093
N00035371,"Brannon, Greg",R,NCS1,S4NC00147
N00036302,"Brannon, Josh",D,NC05,H4NC05245
N00036013,"Brat, Dave",R,VA07,H4VA07143
